MethodName	CoveredStatement	TotalStatement	StatementCoverage	CoveredBranch	TotalBranch	BranchCoverage
org.apache.commons.math3.distribution.AbstractIntegerDistribution.sample	0	1	0.0	0	0	0.0
org.apache.commons.math3.distribution.AbstractIntegerDistribution.reseedRandomGenerator	0	3	0.0	0	0	0.0
org.apache.commons.math3.distribution.AbstractIntegerDistribution.solveInverseCumulativeProbability	0	10	0.0	0	7	0.0
org.apache.commons.math3.distribution.AbstractIntegerDistribution.inverseCumulativeProbability	0	26	0.0	0	22	0.0
org.apache.commons.math3.distribution.AbstractIntegerDistribution.cumulativeProbability	0	4	0.0	0	2	0.0
org.apache.commons.math3.distribution.AbstractIntegerDistribution.<init>	4	4	1.0	0	0	0.0
org.apache.commons.math3.distribution.AbstractIntegerDistribution.<init>	0	4	0.0	0	0	0.0
org.apache.commons.math3.distribution.UniformIntegerDistribution.sample	3	7	0.42857143	1	5	0.2
org.apache.commons.math3.distribution.UniformIntegerDistribution.isSupportConnected	0	1	0.0	0	0	0.0
org.apache.commons.math3.distribution.UniformIntegerDistribution.getSupportUpperBound	0	1	0.0	0	0	0.0
org.apache.commons.math3.distribution.UniformIntegerDistribution.getSupportLowerBound	0	1	0.0	0	0	0.0
org.apache.commons.math3.distribution.UniformIntegerDistribution.getNumericalVariance	0	2	0.0	0	0	0.0
org.apache.commons.math3.distribution.UniformIntegerDistribution.getNumericalMean	0	1	0.0	0	0	0.0
org.apache.commons.math3.distribution.UniformIntegerDistribution.cumulativeProbability	0	5	0.0	0	4	0.0
org.apache.commons.math3.distribution.UniformIntegerDistribution.probability	0	3	0.0	0	3	0.0
org.apache.commons.math3.distribution.UniformIntegerDistribution.<init>	5	7	0.71428573	1	2	0.5
org.apache.commons.math3.distribution.UniformIntegerDistribution.<init>	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextInversionDeviate	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextInversionDeviate	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextSample	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextPermutation	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.setSecureAlgorithm	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.reSeed	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.reSeedSecure	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.reSeedSecure	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.reSeed	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextZipf	0	1	0.0	0	0	0.0
